BUILDING_I,APPLICATION,STATUS,TSA,Dis_SubDis,LUCategory,ZoCaseStat,BldgStatus,Office,Retail,BMR_Hotel,BMR_Inst,BMR_Indus,BMR_TotNonRes,BMR_ResGFA,BMR_ResDU,BMR_Totals
17,RZ 2015-HM-011,FDP Approved,Wiehle-Reston East TSA,Wiehle Station South,Transit Station Mixed Use,APPROVED,FDP Approved,375000,10000,0,0,0,,0,0,385000
16,RZ 2015-HM-011,SE Approved,Wiehle-Reston East TSA,Wiehle Station South,Transit Station Mixed Use,APPROVED,SE Approved,0,3000,130000,0,0,,0,0,133000
20,RZ 2017-HM-009,CDP Proposed,Wiehle-Reston East TSA,Wiehle Station North,Residential Mixed Use,UNDER REVIEW,CDP Proposed,0,0,0,0,0,,285845,261,285845
22,RZ 2016-HM-005,FDP Approved,Wiehle-Reston East TSA,Wiehle Station North,Residential Mixed Use,APPROVED,FDP Approved,0,0,0,0,0,,34500,13,34500
21,RZ 2016-HM-005,FDP Approved,Wiehle-Reston East TSA,Wiehle Station North,Residential Mixed Use,APPROVED,FDP Approved,0,10000,0,0,0,,248500,283,258500
35,RZ 2016-HM-035,FDP Approved,Wiehle-Reston East TSA,Wiehle Station North,Transit Station Mixed Use,APPROVED,FDP Approved,0,10000,0,0,0,,250000,250,260000
36,RZ 2016-HM-035,FDP Approved,Wiehle-Reston East TSA,Wiehle Station North,Transit Station Mixed Use,APPROVED,FDP Approved,0,10000,0,0,0,,250000,260,260000
37,RZ 2016-HM-035,FDP Approved,Wiehle-Reston East TSA,Wiehle Station North,Transit Station Mixed Use,APPROVED,FDP Approved,300000,10000,0,0,0,,0,0,310000
38,RZ 2016-HM-035,FDP Approved,Wiehle-Reston East TSA,Wiehle Station North,Transit Station Mixed Use,APPROVED,FDP Approved,0,10000,245000,0,0,,155000,80,410000
45,PCA 2009-HM-019-02,Existing to Remain,Wiehle-Reston East TSA,Wiehle Station North,Transit Station Mixed Use,APPROVED,Existing to Remain,75000,0,0,0,0,,0,0,75000
47,RZ 2015-HM-005,FDP Approved,Wiehle-Reston East TSA,Wiehle Station North,Residential Mixed Use,APPROVED,FDP Approved,0,0,0,0,0,,22745,12,22745
