UniqueID,TSA,Dis_SubDis,LUCategory,EX_OffSQFT,EX_RetSQFT,EX_HotSQFT,EX_InstSQFT,EX_IndusSQFT,EX_NonResGFA,EX_ResSQFT,EX_SF_DU,EX_TH_DU,EX_MFR_DU,EX_ResDu,MR_OFF_SQFT,MR_RET_SQFT,MR_HOT_SQFT,MR_INS_SQFT,MR_IND_SQFT,MR_NonRes,MR_ResGFA,MR_SFD_DU,MR_SFA_DU,MR_MFR_DU,MR_ResDU,EARMR_OffSQFT,EARMR_RetSQFT,EARMR_HotSQFT,EARMR_InstSQFT,EARMR_IndusSQFT,EARMR_NonResGFA,EARMR_ResSQFT,EARMR_ResDu,EUARMR_OffSQFT,EUARMR_RetSQFT,EUARMR_HotelSQFT,EUARMR_InstSQFT,EUARMR_IndusSQFT,EUARMR_NonResGFA,EUARMR_ResSQFT,EUARMR_ResDu
Reston Town Center TSA : Reston Town Center Station North : Residential Mixed Use,Reston Town Center TSA,Reston Town Center Station North,Residential Mixed Use,396858,16861,55430,0,0,469149,0,0,0,0,0,268850,13443,53770,0,0,336063,1008000,0,0,1008,1008,396858,16861,55430,0,0,469149,0,0,696016,16861,55430,0,0,266307,412000,480
Reston Town Center TSA : Reston Town Center Station South : Residential Mixed Use,Reston Town Center TSA,Reston Town Center Station South,Residential Mixed Use,332569,0,0,0,586930,919499,0,0,0,0,0,389620,19481,77924,0,0,487025,1461000,0,0,1461,1461,332569,0,0,0,586930,919499,0,0,332569,0,0,0,586930,919499,0,0
Wiehle-Reston East TSA : Wiehle Station North : Residential Mixed Use,Wiehle-Reston East TSA,Wiehle Station North,Residential Mixed Use,1700796,13257,0,0,79166,1793219,0,0,0,0,0,1141905,93630,374523,0,0,1610058,7752000,0,0,7752,7752,1663339,23257,0,0,79166,1755762,366400,340,1454223,96947,0,0,0,1467480,2226672,2020
Wiehle-Reston East TSA : Wiehle Station South : Residential Mixed Use,Wiehle-Reston East TSA,Wiehle Station South,Residential Mixed Use,906321,0,0,0,0,906321,0,0,0,0,0,1335357,52206,281633,0,0,1669196,3551000,0,0,3551,3551,906321,0,0,0,0,906321,206600,98,789324,0,0,0,0,789324,951018,797
Reston Town Center TSA : West Fountain Drive : Town Center North Mixed Use,Reston Town Center TSA,West Fountain Drive,Town Center North Mixed Use,13452,0,0,273148,0,286600,33930,0,30,0,30,995500,144800,362000,307700,0,1810000,2400000,0,0,2400,2400,13452,0,0,280828,0,286600,33930,30,0,63000,0,417680,0,0,3993930,3990
Reston Town Center TSA : Town Center Urban Core : Town Center Urban Core Mixed Use,Reston Town Center TSA,Town Center Urban Core,Town Center Urban Core Mixed Use,2570974,309892,437235,0,1047,3319148,3128724,0,0,2566,2566,2648588,382456,445828,0,0,3476872,4200000,0,0,4200,4200,2820797,347067,437235,0,1047,3063859,3087305,2607,2820797,347067,437235,0,1047,3063859,3087305,2607
Herndon TSA : Herndon Station : Transit Station Mixed Use,Herndon TSA,Herndon Station,Transit Station Mixed Use,0,0,0,0,0,0,0,0,0,0,0,929552,23239,185910,23239,0,1161940,1162000,0,0,1162,1162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Reston Town Center TSA : Reston Town Center Station North : Transit Station Mixed Use,Reston Town Center TSA,Reston Town Center Station North,Transit Station Mixed Use,1270846,0,0,0,0,1270846,0,0,0,0,0,3009192,75229,601839,75229,0,3761489,3761000,0,0,3761,3761,1270846,0,0,0,0,1270846,0,0,3240344,247300,509000,70954,0,469276,2188750,2106
Reston Town Center TSA : Reston Town Center Station South : Transit Station Mixed Use,Reston Town Center TSA,Reston Town Center Station South,Transit Station Mixed Use,1159086,0,0,0,0,1159086,0,0,0,0,0,2959032,73976,591806,73976,0,3698790,3699000,0,0,3699,3699,1159086,0,0,0,0,1159086,0,0,2928722,456000,125000,250000,0,442782,2932000,3017
Wiehle-Reston East TSA : Wiehle Station North : Transit Station Mixed Use,Wiehle-Reston East TSA,Wiehle Station North,Transit Station Mixed Use,477628,0,0,0,0,477628,922403,0,0,869,869,1716125,42903,343225,42903,0,2145156,2145000,0,0,2145,2145,1638981,65497,350599,0,0,477628,2292240,2127,1576486,230167,350599,25000,0,155288,2508405,2379
Wiehle-Reston East TSA : Wiehle Station South : Transit Station Mixed Use,Wiehle-Reston East TSA,Wiehle Station South,Transit Station Mixed Use,1034420,0,0,0,0,1034420,0,0,0,0,0,1629293,40732,325859,40732,0,2036616,2037000,0,0,2037,2037,1306969,17000,130000,0,0,502836,819100,760,1301914,43500,130000,0,0,262411,1911885,1792
